"","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_BRANCHED_CHAIN_AMINO_ACID_METABOLISM","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_GLYCINE_METABOLISM","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_LYSINE_METABOLISM","MITOCARTA_METABOLISM_CARBOHYDRATE_METABOLISM_TCA_CYCLE","MITOCARTA_METABOLISM_DETOXIFICATION_ROS_AND_GLUTATHIONE_METABOLISM","MITOCARTA_METABOLISM_DETOXIFICATION_XENOBIOTIC_METABOLISM","MITOCARTA_METABOLISM_LIPID_METABOLISM","MITOCARTA_METABOLISM_LIPID_METABOLISM_FATTY_ACID_OXIDATION","MITOCARTA_METABOLISM_LIPID_METABOLISM_PHOSPHOLIPID_METABOLISM","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CLUSTER_BIOSYNTHESIS","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CONTAINING_PROTEINS","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_HEME_SYNTHESIS_AND_PROCESSING","MITOCARTA_METABOLISM_NUCLEOTIDE_METABOLISM_NUCLEOTIDE_SYNTHESIS_AND_PROCESSING","MITOCARTA_METABOLISM_VITAMIN_METABOLISM_FOLATE_AND_1_C_METABOLISM","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_RRNA_MODIFICATIONS","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_TRNA_MODIFICATIONS","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_GRANULES","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_STABILITY_AND_DECAY","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME_ASSEMBLY","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MT_TRNA_SYNTHETASES","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_TRANSLATION_FACTORS","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_APOPTOSIS","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_AUTOPHAGY","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_FISSION","MITOCARTA_OXPHOS_COMPLEX_I_CI_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_COMPLEX_I_CI_SUBUNITS","MITOCARTA_OXPHOS_COMPLEX_IV_CIV_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_COMPLEX_IV_CIV_SUBUNITS","MITOCARTA_OXPHOS_OXPHOS_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_OXPHOS_SUBUNITS","MITOCARTA_PROTEIN_IMPORT_SORTING_AND_HOMEOSTASIS_PROTEIN_HOMEOSTASIS_PROTEASES","MITOCARTA_SMALL_MOLECULE_TRANSPORT_SLC25A_FAMILY"
"Mmus_C57-6J_GST_GC_Rep1_M33",0.335366430546833,0.37407985444448,0.270402667169198,0.29018342100463,-0.186574860807611,0.149860961785416,0.112138906889818,0.152589831253,-0.107327148908969,-0.00561306002131445,0.0315765479265582,0.243761095896525,0.132404217859592,0.190497535389822,0.278344438299568,0.0419271423680753,0.0200590191217584,-0.125007103103341,0.239318594533923,-0.202094617831795,0.27687735524259,0.251143127439148,-0.0137764665090386,-0.390042510371587,-0.211589095118266,0.277473493209662,0.32956165109252,0.187160963324002,0.517272446717005,0.191562966502397,0.484374611473106,0.226002545112643,-0.0855222396027614
"Mmus_C57-6J_GST_GC_Rep2_M34",0.329359272117594,0.117196703506956,0.478362786566258,0.319026733506079,0.44668913561288,-0.364034475280226,-0.0205799671768624,0.323951958169949,0.344184262154208,0.497144164782664,0.2579016258603,0.210910505463999,-0.154989764287661,-0.16832614955862,0.359329776721407,0.501636465610628,0.402206250066592,0.501569462455702,0.451007837335551,0.493471480638272,0.0753076824510488,0.337152640562255,0.0087236144306414,0.112775526276292,0.209449625753737,0.230971476482996,0.435076534731177,0.261737924288777,0.234331716856854,0.200640081599773,0.350150983207412,0.267046376956917,0.0924264916265562
"Mmus_C57-6J_GST_GC_Rep3_M35",0.691505456003251,0.587676131447954,0.643358670038077,0.764699429839656,0.411989779838605,0.260233293796629,0.470177396464358,0.598802355928695,0.193345522327604,0.529939151360172,0.552308920414419,0.373997967901136,-0.143678488011823,0.213863849847004,0.447195456333379,0.181928853195362,0.346442814575995,0.354298868778662,0.458008391024353,0.115831359277132,0.479490760264758,0.47302457110298,0.339280073008977,0.342500239213903,0.392238917330641,0.301265931362434,0.647843966062351,0.36565629874462,0.686773401979052,0.331818815090436,0.672671128911196,0.462302358508713,0.0875149397344685
"Mmus_C57-6J_GST_GC_Rep4_M36",-0.735793585748645,0.0156534578793202,-0.519609479084433,-0.819694475321194,-0.305555307248622,0.292871400908807,0.253374129884829,-0.348303788554894,-0.343701360880731,-0.534144027833582,-0.604561721277517,-0.521737902338128,-0.407706981352818,0.205706465740843,-0.483499774548732,-0.362074739974803,-0.530556700599295,-0.683398195104611,-0.681858593053575,-0.399328326575995,-0.643993674589247,-0.860664216059296,-0.159008910006235,-0.308187549292509,-0.582890440028067,-0.673467074195889,-0.89586383629393,-0.602453586945897,-0.790271196182836,-0.595639266925714,-0.873833891975305,-0.388988083334035,-0.290469391247524
"Mmus_C57-6J_GST_GC_Rep5_M37",-0.425975076633041,-0.548967082970767,-0.562772467659773,-0.479958891220429,-0.242734400687844,-0.322377558339792,-0.585480365057946,-0.480231598161154,-0.102530807180555,0.0480504626785472,-0.19964482000695,-0.304430248493964,-0.0196318535326423,-0.254360806685967,0.174527834130203,0.124335262489804,-0.000928861065646713,0.14644859427123,-0.375138508817016,-0.0236415547276147,-0.156554554243823,-0.324978537089517,-0.384019662494144,0.509753118014101,-0.294004046842982,-0.293587515590274,-0.56258587388521,-0.24196074416981,-0.681357309998268,-0.252909528465908,-0.617173038483872,-0.0256621427702961,-0.276913370320681
"Mmus_C57-6J_GST_GC_Rep6_M38",-0.177393245883272,-0.41035129618018,-0.285160592410545,-0.115039806604832,-0.415488662549617,-0.431416181415069,-0.578872868682245,-0.105927004314891,-0.10524411111891,-0.413670051077002,-0.375699859508774,-0.334814835906908,-0.208319400690371,-0.348904489968796,-0.393578017339476,-0.366296990212381,-0.357666649009389,-0.541914560436645,-0.483654959581434,-0.428349460502692,0.0615291852288576,-0.189549278984538,0.0428256022692684,-0.360601216176812,-0.303583736658505,-0.316168766630708,-0.442401467121962,-0.365704677267307,-0.239065144053542,-0.342620046923697,-0.446625235699684,-0.221022937706005,-0.0116661345037445
"Mmus_C57-6J_GST_FLT_Rep1_M23",0.481276991689721,0.460207022739586,0.418076201254441,0.67183041227856,0.47040979824853,0.225851778781321,0.402734570493396,0.433657813225699,0.226821844121913,0.539999455095556,0.477632250311913,0.449404691908017,0.45199960143586,-0.159006724336101,0.270341372325334,0.0731524796631553,0.463090232661603,0.538371541295742,0.557427036995263,0.336444480791061,0.117458548125829,0.513307911649338,0.27700072774858,0.277665689774425,0.607533305648764,0.509283666899551,0.677272435149013,0.504005788458677,0.412754514993485,0.483322298220798,0.646215970835387,0.350368864543813,0.129281678699842
"Mmus_C57-6J_GST_FLT_Rep2_M24",-0.427251933274105,0.0216422364905879,-0.553666412566707,-0.615829871352639,-0.310335651423076,0.0812789808309308,-0.172197416220353,-0.493732946835596,-0.16800693680626,-0.154229974916468,-0.373051665419488,-0.0424285743814911,0.135790564232064,0.154784393659682,-0.501119212515151,-0.312207501393682,-0.325254645412524,-0.258968850730425,-0.0841421200731208,0.0419093608446008,-0.0571541716864009,-0.146480746306079,-0.35665558696253,0.329441514135784,0.151436902479408,-0.0938850964445585,-0.196674654359977,-0.165443655056473,-0.560508843385804,-0.0642944627415246,-0.374105422539999,-0.203430842207996,-0.122113090126664
"Mmus_C57-6J_GST_FLT_Rep3_M25",0.515453772087619,-0.0366862780767555,0.310465306711872,0.538964430684181,0.495537236027816,0.461695704812707,-0.0770718746686488,0.353217225174763,0.16447185575053,0.633266066007998,0.435566250529777,0.240568159715742,0.393397909467931,-0.166933833341635,0.256861487751681,0.109488625186771,0.252197489146622,0.403375361961798,0.638063192713436,0.342141441916803,0.367317988652591,0.433459697949208,0.174054479829223,0.531472238031995,0.537857521250194,0.520829226653872,0.649916382662113,0.580372497567528,0.627984916251694,0.533229067729548,0.617826006983253,0.479807593021559,0.258067020846776
"Mmus_C57-6J_GST_FLT_Rep4_M26",0.383521530457845,0.433540014152549,0.522784294112953,0.46305935574241,0.114504259970722,0.362254180222774,0.425464033103197,0.481440461283607,0.117561569795254,-0.35430404429832,0.223830614347259,0.102136905688234,-0.179535667290503,0.172470257796094,-0.120304776647694,-0.290687134647372,0.0706450737793169,-0.11695857932084,-0.171522026999252,-0.367810649840974,0.0438050387877819,0.296018806073834,0.345378817322894,-0.475669692599891,-0.115737509784645,-0.125807915460287,0.47614115627694,-0.142966382763808,0.549617610836368,-0.240048719858997,0.491263453815155,-0.0616961070570715,0.189803851058875
"Mmus_C57-6J_GST_FLT_Rep5_M27",-0.380361867687597,-0.2720336773324,0.0179456977766741,-0.388243695899344,-0.326978748174507,-0.459929695886948,0.13147145515075,-0.281252210011556,0.0488984664112936,-0.282596501582155,-0.191275572502082,0.187060081246639,-0.229113276839598,0.0425000846934876,0.366084768306973,0.23944390881183,0.162921745860244,0.431529692216559,-0.173579901845785,0.362792366959634,0.141069215849363,0.0225174845310041,-0.142999894072635,-0.352747532352967,-0.196799687847231,0.246201111865772,-0.387056060586125,-0.17082739101369,-0.276764435748448,0.0533421885496438,-0.313740697831621,-0.407833337532281,0.122114009429648
"Mmus_C57-6J_GST_FLT_Rep6_M28",-0.520884426830819,-0.569100432989352,-0.301616693300823,-0.476305952562886,-0.509185830469567,-0.332919570108213,-0.419470868784561,-0.516990297961104,-0.268940836016357,-0.51619132541674,-0.307776235056799,-0.200821707747562,-0.114421658383966,0.033003178949692,-0.454871151323623,-0.00409523081141611,-0.154742051451168,-0.346681956835776,-0.419172777669384,-0.130124486435939,-0.298985678808066,-0.466045601239598,0.0225270098126379,-0.327647689377669,-0.374009849135281,-0.217637129168053,-0.55760716776438,-0.26201703379699,-0.464185748371089,-0.275275928378719,-0.484805395492265,-0.399460253129679,-0.196432928294615
