,MEblue,MEbrown,MEred,MEturquoise,MEyellow
Mmus_C57-6J_DSKN_FLT_1G_JC_Rep1_F5,1.6435900793503204,29.293050528841682,-12.178363120256368,58.19146622467789,-26.710808803097567
Mmus_C57-6J_DSKN_FLT_1G_JC_Rep2_F6,-23.15725527998682,42.17006359121092,-18.583049940184853,82.7984290582246,-32.7082165907537
Mmus_C57-6J_DSKN_FLT_1G_JC_Rep3_F12,24.942017639572597,34.29251586306866,-19.02903944971349,-74.67910173367049,-29.41158362263291
Mmus_C57-6J_DSKN_FLT_1G_JCwFOS_Rep1_F4,0.18091245826178223,33.691610369673626,-16.365233974302527,23.82593534148491,-28.74412141115299
Mmus_C57-6J_DSKN_FLT_1G_JCwFOS_Rep2_F10,32.34661758492381,29.256564768671126,-12.116155122758826,-68.65665010457296,-24.934151084213266
Mmus_C57-6J_DSKN_FLT_1G_JCwFOS_Rep3_F11,34.440931381235295,32.31261842926154,-15.138487922873649,-75.21953963640047,-29.06972780507008
Mmus_C57-6J_DSKN_FLT_uG_JC_Rep1_F2,14.183985220997695,38.6312810791444,-15.38393929333219,34.68807105189935,-31.68866695585325
Mmus_C57-6J_DSKN_FLT_uG_JC_Rep2_F3,-4.617199022942082,38.07317543828344,-22.674088211723458,75.69251693203337,-32.06110253340066
Mmus_C57-6J_DSKN_FLT_uG_JC_Rep3_F9,22.532487518549438,29.166224386676955,-9.71643353302534,-77.48527564013355,-26.665514809024206
Mmus_C57-6J_DSKN_FLT_uG_JCwFOS_Rep1_F1,18.594991828396388,23.85283418211674,-13.992648573629772,-72.63125228167775,-30.674978808340096
Mmus_C57-6J_DSKN_FLT_uG_JCwFOS_Rep2_F7,20.553806696387863,29.942530296459896,-10.696776272481085,-76.21308509691,-27.755806144323977
Mmus_C57-6J_DSKN_FLT_uG_JCwFOS_Rep3_F8,23.90141216911131,27.165113893052535,-9.723646255725402,-53.380771782961126,-27.633239765544747
Mmus_C57-6J_DSKN_GC_1G_JC_Rep1_G5,6.519093125656619,38.44295285861783,-14.909736185585333,61.77955438519434,-25.19103534267651
Mmus_C57-6J_DSKN_GC_1G_JC_Rep2_G6,-16.922679986335908,41.36820858702556,-12.656363143288702,60.94494252157199,-28.8405559474707
Mmus_C57-6J_DSKN_GC_1G_JC_Rep3_G12,-0.41286192847160497,32.00131685511048,-5.541688567125019,-7.7315664872123735,-21.802322015829354
Mmus_C57-6J_DSKN_GC_1G_JCwFOS_Rep1_G4,-15.084621294163885,40.63462018909281,-3.193954982578968,23.542798409643954,-18.38139255222854
Mmus_C57-6J_DSKN_GC_1G_JCwFOS_Rep2_G10,-95.34105313122282,32.22713316446443,-15.798900750791757,8.559266155351857,-22.934187943755525
Mmus_C57-6J_DSKN_GC_1G_JCwFOS_Rep3_G11,-25.024549098506448,35.844908591714216,-9.88994221758712,80.27043242501102,-26.080816395483776
Mmus_C57-6J_DSKN_VIV_1G_JC_Rep1_G2,-5.425502854590363,39.949077061276924,-4.668986960442854,-32.071114279932644,-19.57469531910713
Mmus_C57-6J_DSKN_VIV_1G_JC_Rep2_G3,-44.3342548755369,39.020805130032485,-15.212781687921009,82.97310804906775,-24.899830297300632
Mmus_C57-6J_DSKN_VIV_1G_JC_Rep3_G9,-50.855140360372125,35.77487247000145,-7.93571284596547,42.11231718802446,-23.118744507704847
Mmus_C57-6J_DSKN_VIV_1G_JCwFOS_Rep1_G1,-31.610271250706997,32.981892746020016,-10.226298423573018,61.41081084975994,-23.904655989441586
Mmus_C57-6J_DSKN_VIV_1G_JCwFOS_Rep2_G7,-17.56833474810738,36.184073917103404,-6.251875184381524,55.95483991900014,-23.93745484256868
Mmus_C57-6J_DSKN_VIV_1G_JCwFOS_Rep3_G8,13.903849587699629,37.28224116009765,13.560373946634943,-64.7692813878143,-21.6433349627969
Mmus_C57-6J_FSKN_FLT_1G_JC_Rep1_F5,-41.253804545024614,38.93844057007675,-22.81339052034132,69.12094766560364,-29.743550793606484
Mmus_C57-6J_FSKN_FLT_1G_JC_Rep2_F6,27.109980322422192,40.54984887993049,-1.0983813914955292,42.792473372461885,-23.17811073733428
Mmus_C57-6J_FSKN_FLT_1G_JC_Rep3_F12,-71.09884061811455,34.796449762627674,-18.120777944529564,70.30315665538144,-29.207655021287703
Mmus_C57-6J_FSKN_FLT_1G_JCwFOS_Rep1_F4,37.93552937917666,37.512991073143816,-9.007354269977505,63.03945893071538,-28.52704206073026
Mmus_C57-6J_FSKN_FLT_1G_JCwFOS_Rep2_F10,-30.369162770557995,46.3351811696154,-4.556420557470474,71.03793764396595,-28.016356678949055
Mmus_C57-6J_FSKN_FLT_1G_JCwFOS_Rep3_F11,-52.06539014771791,40.81816366856978,-17.500529800588847,82.36343014929102,-28.9275428915499
Mmus_C57-6J_FSKN_FLT_uG_JC_Rep1_F2,-57.26595321648988,39.0842536463659,-17.261816843294227,68.67368956914233,-30.90282418463013
Mmus_C57-6J_FSKN_FLT_uG_JC_Rep2_F9,-10.696848010707496,30.8098736781443,10.525723717711179,-75.44319355259589,-18.953203639749507
Mmus_C57-6J_FSKN_FLT_uG_JCwFOS_Rep1_F1,19.192810744139706,29.985590875826784,-1.1951063476648838,6.988352600610382,-23.24714841847591
Mmus_C57-6J_FSKN_FLT_uG_JCwFOS_Rep2_F7,-37.112304272032794,30.83807147442301,-7.846378008745237,-71.80590079392027,-28.26040455784773
Mmus_C57-6J_FSKN_FLT_uG_JCwFOS_Rep3_F8,12.709379677076777,40.60207686684942,-12.845679951611265,-6.504699321259984,-26.113921877047495
Mmus_C57-6J_FSKN_GC_1G_JC_Rep1_G5,-68.61667822842016,32.394523370143304,-20.247712072742324,51.56643467043563,-25.791860871382266
Mmus_C57-6J_FSKN_GC_1G_JC_Rep2_G6,17.459446690223892,44.85764192079934,-18.708733366669854,65.86278800526881,-26.08949055412641
Mmus_C57-6J_FSKN_GC_1G_JC_Rep3_G12,-19.298473492114635,39.31517500063825,-5.647159436234913,29.424150675240686,-20.695583944522724
Mmus_C57-6J_FSKN_GC_1G_JCwFOS_Rep1_G4,-70.80979504023863,37.646443515881145,-16.271692056594272,-8.192681936078264,-20.956433514827207
Mmus_C57-6J_FSKN_GC_1G_JCwFOS_Rep2_G10,20.596517985873316,28.116495078582098,-1.5170230742657806,-24.523008008094962,-18.26577412622371
Mmus_C57-6J_FSKN_GC_1G_JCwFOS_Rep3_G11,-46.42558384912869,38.68188357852364,-14.218075357996986,52.18177439290006,-23.448478280272774
Mmus_C57-6J_FSKN_VIV_1G_JC_Rep1_G2,-57.93192193390546,41.61307369451934,-17.86467576121477,24.904059127246704,-21.20713873660286
Mmus_C57-6J_FSKN_VIV_1G_JC_Rep2_G3,4.208812487708203,36.44066861162965,-3.8325702538441817,-32.704828573570204,-11.459703802539822
Mmus_C57-6J_FSKN_VIV_1G_JC_Rep3_G9,-94.52436636163577,33.36744195428367,-11.266847953676157,-18.683123071913233,-19.65061868734594
Mmus_C57-6J_FSKN_VIV_1G_JCwFOS_Rep1_G1,-69.13145156500714,37.89453276591902,-5.343823118434972,-9.767230645721597,-15.542155555397727
Mmus_C57-6J_FSKN_VIV_1G_JCwFOS_Rep2_G7,-87.22917527055368,33.602247147204864,-11.79819761572943,-12.061672228990062,-20.769642057639146
Mmus_C57-6J_FSKN_VIV_1G_JCwFOS_Rep3_G8,-62.27108566666228,41.732017598580235,-10.11105760062959,46.28262144014119,-20.792792713685824
Mmus_C57-6J_SKN_FLT_25days_Rep1_F1,-47.95050479186328,-63.19345220677068,27.75173289635487,-78.95686509031115,24.248060953214225
Mmus_C57-6J_SKN_FLT_25days_Rep2_F5,17.31008109772663,-59.438157427391204,26.776153445899602,-78.80133323762246,19.156622878229747
Mmus_C57-6J_SKN_FLT_25days_Rep3_F9,16.962409757643023,-59.91023696835202,21.37558420471015,-59.470336477697145,12.838075060407325
Mmus_C57-6J_SKN_FLT_25days_Rep4_F13,7.905377747441571,13.869760629292005,10.236516859462101,-60.85136860306071,-6.522513584541424
Mmus_C57-6J_SKN_FLT_25days_Rep5_F17,31.82330178499793,-1.5713981693309098,13.073538558920857,-68.90309957257016,-6.092111806750706
Mmus_C57-6J_SKN_FLT_75days_Rep1_F3,5.972284574633095,-53.637455299832,22.17360073560796,-59.91359867181183,26.930159628333563
Mmus_C57-6J_SKN_FLT_75days_Rep2_F7,15.74299079850075,-50.582724869196326,20.077261758435334,-78.43337756214773,14.935249962106074
Mmus_C57-6J_SKN_FLT_75days_Rep3_F11,16.30904377571145,18.78912449052942,9.06886563790586,-38.926563465400314,-5.792894641144733
Mmus_C57-6J_SKN_FLT_75days_Rep4_F15,9.939311081248734,10.884507721833177,4.462224714611948,-64.36174005191687,-12.592395751297126
Mmus_C57-6J_SKN_FLT_75days_Rep5_F19,23.82349926528834,-0.07559859597304593,8.379152590320233,2.434056347805125,-4.924418629602033
Mmus_C57-6J_SKN_GC_25days_Rep1_G1,20.898804810935946,-61.80200882601445,16.23059727489558,-78.2502492795216,16.872843241486837
Mmus_C57-6J_SKN_GC_25days_Rep2_G5,-7.47385039589541,10.03839563003656,-1.249528179397152,48.94499318601808,-16.228706275319883
Mmus_C57-6J_SKN_GC_25days_Rep3_G9,18.119789586561566,-50.29653931038599,13.872316776751736,-88.69645765493678,12.521609272147199
Mmus_C57-6J_SKN_GC_25days_Rep4_G13,9.72806219075938,22.39857557939403,10.941923962789003,-57.303857921678976,-11.167096116735593
Mmus_C57-6J_SKN_GC_25days_Rep5_G17,12.3482225291239,15.692908418576154,15.246351283431805,-37.84000185206097,-6.131937663784828
Mmus_C57-6J_SKN_GC_75days_Rep1_G3,-30.919685809149,-61.07811377214702,13.192568575538372,44.78351021158489,15.52783189899176
Mmus_C57-6J_SKN_GC_75days_Rep2_G7,14.038055236549773,-64.74364616726135,21.185041856287015,-69.20341557311357,24.15666379985625
Mmus_C57-6J_SKN_GC_75days_Rep3_G15,-13.67901063212067,20.47977317566548,-2.0459111447810168,68.15833245713695,-14.832773634973112
Mmus_C57-6J_SKN_GC_75days_Rep4_G11,10.42702704917507,8.897311173556808,6.353027157118588,27.905739918347663,-2.172917219756182
Mmus_C57-6J_SKN_GC_75days_Rep5_G19,-1.0195321517364948,8.710938276852078,-4.034086053480191,33.17094237963717,-16.967675660871052
Mmus_C57-6J_SKN_VIV_25days_Rep1_V1,-14.977154848644004,-50.96333807193558,17.626523898879988,17.628363351832434,13.689888716489728
Mmus_C57-6J_SKN_VIV_25days_Rep2_V5,-72.75256208218907,-52.68935018550219,12.061038698465543,63.848398115684304,8.178997291299675
Mmus_C57-6J_SKN_VIV_25days_Rep3_V9,27.451953327104068,-50.451951286358614,16.175672222329396,-91.43348636175693,10.609286039808415
Mmus_C57-6J_SKN_VIV_25days_Rep4_V13,4.070372591081511,14.795718306375493,16.90523728437704,-48.047089561196124,-6.008791312092879
Mmus_C57-6J_SKN_VIV_25days_Rep5_V17,-10.407044814237242,-1.390256944256099,2.8751167635557717,31.75815142869425,-14.773640737369519
Mmus_C57-6J_SKN_VIV_75days_Rep1_V3,-23.350061989238903,-57.911758464734575,22.1148886929484,3.6117645587842935,23.023167345027254
Mmus_C57-6J_SKN_VIV_75days_Rep2_V7,9.169140955448476,-63.49675632884094,27.863548143731833,-85.54316796450051,26.09949403462412
Mmus_C57-6J_SKN_VIV_75days_Rep3_V11,-4.404953670836276,17.158285060678654,-3.0032055372772604,38.40188959682963,-10.669034589999594
Mmus_C57-6J_SKN_VIV_75days_Rep4_V15,11.72639030905728,13.756345891105251,16.781394691917406,6.918007164023139,-2.132774447191734
Mmus_C57-6J_SKN_VIV_75days_Rep5_V19,28.66907284252414,12.196429439150174,10.438512864258273,19.903420435225566,-4.927120832111353
Mmus_C57-6T_DSKN_BSL_ISS-T_Rep1_B2,35.78264400364565,-31.118446864963452,-8.813577055294113,-18.2128104495364,21.721016945004227
Mmus_C57-6T_DSKN_BSL_ISS-T_Rep2_B3,36.23196417613758,-3.3841201057299113,-18.995935656823836,-14.113620409055331,8.6910135667889
Mmus_C57-6T_DSKN_BSL_ISS-T_Rep3_B4,11.83470443466419,-50.879589747314974,26.05259924858732,-72.83586247774474,33.41996714223937
Mmus_C57-6T_DSKN_BSL_ISS-T_Rep4_B7,52.74313483765584,-35.086572953317685,-9.808283976750076,-58.47517031322199,23.27079727965871
Mmus_C57-6T_DSKN_BSL_ISS-T_Rep5_B8,20.224407427319196,-26.027956795018444,-2.7469484782331492,39.13796460279491,17.008285900747133
Mmus_C57-6T_DSKN_BSL_ISS-T_Rep6_B9,34.18394129766492,14.186134418979625,-11.099488227596009,21.364824319656154,10.776094718497331
Mmus_C57-6T_DSKN_BSL_LAR_Rep10_B10,44.57810658303555,19.479994736775193,10.755960705216525,-59.002278969192744,10.11273456319148
Mmus_C57-6T_DSKN_BSL_LAR_Rep1_B1,-32.8047468407477,-21.766648104751027,1.7498443336816345,69.59425385651315,16.060383185705124
Mmus_C57-6T_DSKN_BSL_LAR_Rep2_B2,16.449774015911455,-23.445235591275836,22.016033959091505,-36.697970329601354,33.35533155199059
Mmus_C57-6T_DSKN_BSL_LAR_Rep3_B3,17.495003669884895,-26.38504718083792,36.99372379042343,-61.00327402296652,31.92594174450299
Mmus_C57-6T_DSKN_BSL_LAR_Rep4_B4,29.022019631165946,-31.1811793000739,16.184284068556803,15.659312784176262,26.1145623689183
Mmus_C57-6T_DSKN_BSL_LAR_Rep5_B5,30.530923197061085,-28.480091616331947,15.661918230535088,-40.78908314212537,28.726832375138184
Mmus_C57-6T_DSKN_BSL_LAR_Rep6_B6,27.04023911107209,-30.284949661693005,26.5855609768221,-56.667431513882754,30.50333430330052
Mmus_C57-6T_DSKN_BSL_LAR_Rep7_B7,22.80461504152513,-20.17197916044449,14.298167148616683,35.32623452268281,18.34845901961318
Mmus_C57-6T_DSKN_BSL_LAR_Rep8_B8,44.75188971163947,-29.64262575681739,21.142420576317694,-50.79104935476729,27.852915534167245
Mmus_C57-6T_DSKN_BSL_LAR_Rep9_B9,46.32315584170536,29.17689542602721,2.634760516589259,-58.79434276779006,7.552271856957003
Mmus_C57-6T_DSKN_FLT_ISS-T_Rep1_F1,47.76869577803373,-27.232686959114517,-2.377412160847866,-60.28935671520784,28.28974939744645
Mmus_C57-6T_DSKN_FLT_ISS-T_Rep2_F2,-1.740796742928872,-34.08988081985544,-4.981906450699982,16.0931182651665,30.479260584625173
Mmus_C57-6T_DSKN_FLT_ISS-T_Rep3_F3,32.13843807643457,-26.829352157061805,-2.600977409516195,-69.92555364483859,22.952425058944833
Mmus_C57-6T_DSKN_FLT_ISS-T_Rep4_F4,30.939295699814544,-32.06278686561777,-0.11604681030572823,-63.09778863353304,31.599695722222606
Mmus_C57-6T_DSKN_FLT_ISS-T_Rep5_F6,26.94467514311122,-45.97301427867281,1.08784900550134,-19.76430955935827,32.36239217253712
Mmus_C57-6T_DSKN_FLT_ISS-T_Rep6_F7,35.498362044865544,-45.2558297635914,-8.529489364849853,-47.5420664615195,21.227595923490746
Mmus_C57-6T_DSKN_FLT_ISS-T_Rep7_F8,35.37032017329735,6.370954828493279,-1.4647570387494109,-17.63559831379566,15.944208620330174
Mmus_C57-6T_DSKN_FLT_ISS-T_Rep8_F9,38.422984744673755,3.6106975014169187,-9.739948142633029,-34.038200751948175,9.108788720789503
Mmus_C57-6T_DSKN_FLT_ISS-T_Rep9_F10,32.01079058198804,7.5262312030932605,-3.762401704220913,-31.043139027236098,18.31395718282741
Mmus_C57-6T_DSKN_FLT_LAR_Rep1_F1,30.602298816950064,-27.573725232993365,8.836842887577316,-45.05615335292897,25.07590098706644
Mmus_C57-6T_DSKN_FLT_LAR_Rep2_F2,33.86095475516371,-24.859523556567822,12.15132992436476,-35.975698741246305,22.67014503395995
Mmus_C57-6T_DSKN_FLT_LAR_Rep3_F3,28.622016772129083,-38.75649814479343,10.357176412480083,-0.6256665854699087,25.50653282555397
Mmus_C57-6T_DSKN_FLT_LAR_Rep4_F4,29.301061234729307,-44.57844348675948,14.387323272725162,-64.8803295898902,25.202080729517288
Mmus_C57-6T_DSKN_FLT_LAR_Rep5_F5,-3.4459440340419527,-27.199718502687567,0.8990746538469623,70.81091973917542,13.729870472194603
Mmus_C57-6T_DSKN_FLT_LAR_Rep6_F6,-9.754644921398135,-23.041457174860263,10.096027664172242,47.20130109658558,19.08172447654313
Mmus_C57-6T_DSKN_FLT_LAR_Rep7_F7,-12.747365059331607,-22.914097363925695,15.91893839544183,-10.16396861878481,25.81240842250428
Mmus_C57-6T_DSKN_FLT_LAR_Rep8_F8,-36.22276564907937,-27.993530228693626,8.051887802625075,57.49847410139687,18.581208160705483
Mmus_C57-6T_DSKN_FLT_LAR_Rep9_F9,-42.47567729681979,-30.925240697386084,5.758359115857503,68.57866319072957,18.34173649034198
Mmus_C57-6T_DSKN_GC_ISS-T_Rep10_G10,5.345079132257422,29.40316431184829,-22.90375266756785,44.922284362298115,5.872252877520895
Mmus_C57-6T_DSKN_GC_ISS-T_Rep1_G1,8.018830516776985,-21.677099138282024,-17.73730412159862,44.24383188974362,16.927014410998268
Mmus_C57-6T_DSKN_GC_ISS-T_Rep2_G2,19.152638924033543,6.403178087681351,-18.98956013516941,41.260043273067595,5.763089457295593
Mmus_C57-6T_DSKN_GC_ISS-T_Rep3_G3,38.76136552373352,-59.6780290542217,-1.1056717808372858,-72.36439246237555,31.095090780659923
Mmus_C57-6T_DSKN_GC_ISS-T_Rep4_G4,-1.2411365934330965,-27.788335316306405,-12.75657866709231,71.90875058345446,13.72374764312023
Mmus_C57-6T_DSKN_GC_ISS-T_Rep5_G5,28.34662666114988,-46.69937818554264,-0.4754715773288869,-39.42722670222522,33.60221457619644
Mmus_C57-6T_DSKN_GC_ISS-T_Rep6_G6,36.99647184587335,-48.03376076875902,0.3656954945150984,-68.41436767256018,35.491389170859065
Mmus_C57-6T_DSKN_GC_ISS-T_Rep7_G7,18.96267704273435,12.903688614445734,-18.248847857736948,43.73518009955622,-3.6301630131952867
Mmus_C57-6T_DSKN_GC_ISS-T_Rep8_G8,6.881731893109295,15.78303896659808,-21.55067895917071,72.10003284938517,2.8979991811840966
Mmus_C57-6T_DSKN_GC_ISS-T_Rep9_G9,8.22222366142268,21.673751921382774,-27.648560693889507,79.18810476586212,-7.563638071909808
Mmus_C57-6T_DSKN_GC_LAR_Rep1_G2,-5.217119037962331,-27.472469181815274,1.0321741961157085,69.44770151880878,15.60887592635916
Mmus_C57-6T_DSKN_GC_LAR_Rep2_G3,16.07838795181499,-24.62896548366458,9.287749806818766,51.81582540392742,23.843138321725366
Mmus_C57-6T_DSKN_GC_LAR_Rep3_G4,19.42368352745259,-23.4727423856486,7.33240284135175,30.42038266299022,24.183316105145515
Mmus_C57-6T_DSKN_GC_LAR_Rep4_G5,-38.855340504833265,-12.689720925293653,1.6706164112336777,79.22420449277998,14.355511456639537
Mmus_C57-6T_DSKN_GC_LAR_Rep5_G6,-11.528464795346565,-24.450126368779877,10.209079819004172,52.961110176956275,20.765361048134807
Mmus_C57-6T_DSKN_GC_LAR_Rep6_G7,18.598303995286635,-26.312299635955508,4.737115897828285,12.455034735347112,25.358796647230303
Mmus_C57-6T_DSKN_GC_LAR_Rep7_G8,-69.96621269339616,-47.04754562381753,14.505188593248779,54.15405497972426,24.563952496000663
Mmus_C57-6T_DSKN_GC_LAR_Rep8_G9,-57.0638193661529,-32.65660709237459,8.28430470862932,58.37458004741929,19.874911742565022
Mmus_C57-6T_DSKN_GC_LAR_Rep9_G10,-5.20284782456341,23.301474856812025,1.3749361032204737,62.85717516638437,8.810747142515067
